epic,gaia_source,[C/Fe],e_[C/Fe],f_[C/Fe],[O/Fe],e_[O/Fe],f_[O/Fe],[Mg/Fe],e_[Mg/Fe],f_[Mg/Fe],[Si/Fe],e_[Si/Fe],f_[Si/Fe],[Fe/H],e_[Fe/H],f_[Fe/H],ages,ruwe,[Si/H],[Mg/H],[C/H],[O/H],e_[Si/H],e_[Mg/H],e_[C/H],e_[O/H],[Mg/Si],e_[Mg/Si],[Si/Mg],e_[Si/Mg],[C/O],e_[C/O],[Fe/Si],A(Si),A(Mg),A(C),A(O),si_moles,mg_moles,fe_moles,c_moles,o_moles,[Mg/Si]_abs,[C/O]_abs,u_w_2,halo_flag
211513914,605372238757107712,-0.0071999999999999,0.046,0,0.1803,0.0567,0,0.062,0.0345,0,0.1058,0.0415,0,-0.4565,0.0176,0,3.0,1.3159091,-0.3507,-0.3945,-0.4637,-0.2762,0.0501188762164122,0.0466024950812916,0.0697310189629217,0.0568033219644011,-0.0438,0.1575832159987828,0.0438,0.1575832159987828,-0.1875,0.207092311672057,-0.1058,7.1593,7.1355,7.9263,8.3838,14431118.736650364,13661550.756904112,9851446.42804035,84391751.40304765,241991437.83392215,0.946673020034698,0.3487385841352181,71.57261836764111,0
211678309,609110307709607808,0.0502,0.0675,0,0.2168,0.0774,0,0.1097,0.0475,0,0.1502,0.0539,0,-0.865,0.0194,0,3.6,0.93425643,-0.7148,-0.7553,-0.8148,-0.6482,0.0583451453143177,0.0566563795286585,0.0888944793840427,0.070503781682697,-0.0404999999999999,0.1872626265626993,0.0404999999999999,0.1872626265626993,-0.1665999999999999,0.2612496820858413,-0.1502,6.7951999999999995,6.7747,7.575200000000001,8.011800000000001,6240221.4213897595,5952508.167809473,3845917.8204535353,37601052.36684964,102754298.81178132,0.9538937428415466,0.3659316719753478,105.54269515224632,0
212613949,3611745377685291008,-0.2186,0.0249,0,0.3609,0.0283,0,0.0272999999999999,0.017,0,0.065,0.0185,0,-0.8984,0.009,0,8.1,1.0468922,-0.8333999999999999,-0.8711,-1.117,-0.5375,0.0246793691865078,0.024727575965306,0.0601033026402832,0.019932801473019,-0.0377,0.0804431187592036,0.0377,0.0804431187592036,-0.5795,0.145805163767684,-0.065,6.6766,6.6589,7.273000000000001,8.1225,4748976.275730639,4559319.216592222,3561229.809427625,18749945.080674212,132586711.77605608,0.960063590945348,0.1414164725070154,49.72107500849112,0
211926218,663447279003300992,-0.1355,0.0197,0,0.0448999999999999,0.0216,0,0.0068,0.0183,0,0.0428,0.0228,0,-0.2352,0.0135,0,3.9,1.2108488,-0.1924,-0.2284,-0.3707,-0.1903,0.0327211080284406,0.0292880571599597,0.0411075909875662,0.0311759505713667,-0.036,0.1011162934809727,0.036,0.1011162934809727,-0.1804,0.1187958508298363,-0.0428,7.3176,7.3016,8.019300000000001,8.4697,20777820.97504265,20026266.90340905,16398344.27626538,104544213.56941512,294917130.75082713,0.9638290236239724,0.3544867444738013,37.29185567922304,0
230542745,4127626475298040832,0.0641999999999999,0.0128,0,0.2659,0.0145,0,0.2526,0.012,0,0.2877,0.014,0,-0.2783,0.0082,0,12.9,0.82851416,0.0094,-0.0257,-0.2141,-0.0123999999999999,0.0132545805421239,0.0126842743939182,0.0179155899380191,0.0139947512770326,-0.0351,0.042243163753686,0.0351,0.042243163753686,-0.2017,0.0523462944502347,-0.2877,7.5194,7.504300000000001,8.1759,8.6476,33067396.279884517,31937432.529771756,14849095.487502389,149933956.00605628,444221935.4710558,0.9658284631620622,0.3375203789679259,143.01127927544735,0
211924765,657500673443311744,-0.0741,0.0266,0,0.1973,0.0352,0,0.062,0.0201,0,0.0966,0.0258,0,-0.2539,0.0134,0,5.2,1.0027676,-0.1573,-0.1919,-0.328,-0.0566,0.0326727708583058,0.0284885080894582,0.0474467149690673,0.0349153794636838,-0.0346,0.0998139444527275,0.0346,0.0998139444527275,-0.2714,0.1356430673935874,-0.0966,7.3527,7.3381,8.062000000000001,8.6034,22526825.76575423,21782112.662934344,15707244.353646522,115345325.78210951,401236099.5991899,0.9669410546091222,0.2874749452936373,68.09991556529273,0
228964807,3683401512539621888,-0.0867000000000001,0.0342,0,0.0809999999999999,0.04,0,0.0866,0.0212,0,0.1199,0.0237,0,-0.9689,0.011,0,6.7,1.0269254,-0.849,-0.8823,-1.0556,-0.8879,0.0281788499493004,0.0273641966893799,0.0612382207144983,0.0491359669213379,-0.0332999999999999,0.0904434451568509,0.0332999999999999,0.0904434451568509,-0.1677,0.1807853819201071,-0.1199,6.661,6.6477,7.3344,7.7721,4581418.867145331,4443242.331287163,3027610.4809231344,21597326.806893967,59169786.19587192,0.969839794206753,0.3650059970708622,96.22440698700096,0
248902614,3883992737418320896,-0.4244,0.0637,0,0.3153,0.0883,0,0.1089,0.033,0,0.1419,0.0401,0,-0.8439,0.016,0,2.7,0.98745435,-0.702,-0.735,-1.2683,-0.5286,0.0446895576041317,0.0403572073463764,0.2447058198978309,0.0636789637382235,-0.033,0.1386504389665727,0.033,0.1386504389665727,-0.7397,0.582221509119865,-0.1419,6.808,6.795,7.121700000000001,8.1314,6426877.173170194,6237348.354824191,4037383.464553308,13234270.283674076,135331844.17059222,0.9705099672454898,0.0977912505721244,101.40853267846845,0
210669767,47453070725409408,-0.0336,0.0103,0,0.0196,0.0119,0,-0.0249,0.0104,0,0.0061,0.0123,0,-0.0472,0.0075,0,7.6,0.9956838,-0.0411,-0.0721,-0.0808,-0.0276,0.0190372700252394,0.0175705285732313,0.0177204613562364,0.0180431184089652,-0.031,0.0596516710502789,0.031,0.0596516710502789,-0.0532,0.0582316837911041,-0.0061,7.4689,7.4579,8.3092,8.6324,29437437.337117385,28701196.36464441,25281334.798341133,203798038.6287059,428943409.9967822,0.9749896377173886,0.4751163763775616,33.08912359069064,0
247498294,3412385811987431424,-0.0938,0.0238,0,0.1006,0.0289,0,0.0345,0.0192,0,0.0655,0.024,0,-0.328,0.0129,0,1.3,0.9926438,-0.2625,-0.2935,-0.4218,-0.2274,0.032451494436342,0.0286526285816285,0.0445236595480286,0.0354996794095375,-0.0309999999999999,0.0996801989391543,0.0309999999999999,0.0996801989391543,-0.1944,0.1311176849996836,-0.0655,7.2475,7.2365,7.9682,8.4326,17680722.17734318,17238520.910269625,13243415.351946644,92939429.01315811,270769660.2330501,0.9749896377173888,0.3432416650121199,2.047828117787233,0
